"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,7,"AND","Andorra",1,"Andorra la Vella","Parròquia","Parish",NA,NA
2,7,"AND","Andorra",2,"Canillo","Parròquia","Parish",NA,NA
3,7,"AND","Andorra",3,"Encamp","Parròquia","Parish",NA,NA
4,7,"AND","Andorra",4,"Escaldes-Engordany","Parròquia","Parish",NA,NA
5,7,"AND","Andorra",5,"La Massana","Parròquia","Parish",NA,NA
6,7,"AND","Andorra",6,"Ordino","Parròquia","Parish",NA,NA
7,7,"AND","Andorra",7,"Sant Julià de Lòria","Parròquia","Parish",NA,NA
