"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,78,"FIN","Finland",1,"Eastern Finland","Lääni","Province",NA,"Itä-Suomen lääni|Östra Finlands län"
2,78,"FIN","Finland",2,"Lapland","Lääni","Province",NA,"Lapin lääni|Lappi|Laponia|Lapônia|Laponie|Lappland|Lapplands län"
3,78,"FIN","Finland",3,"Oulu","Lääni","Province",NA,"Oulun lääni|Uleåborgs län"
4,78,"FIN","Finland",4,"Southern Finland","Lääni","Province",NA,"Etelä-Suomen lääni|Södra Finlands län"
5,78,"FIN","Finland",5,"Western Finland","Lääni","Province",NA,"Länsi-Suomen lääni|Västra Finlands län"
